latitude,longitude,neo_altitude,num_satellites,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.36854666666667,-70.69032166666666,519.2,06,27.12,28.32,49.89,959.1,-0.0,"15/02, 16:14:11"
-33.368575,-70.690305,526.6,05,27.15,28.33,49.79,959.1,0.0,"15/02, 16:14:21"
-33.36854,-70.69030333333333,529.2,06,27.21,28.4,49.79,959.09,0.0,"15/02, 16:14:31"
-33.36854666666667,-70.69029833333333,530.3,06,27.29,28.49,49.87,959.11,0.01,"15/02, 16:14:41"
-33.368525,-70.690305,529.1,06,27.36,28.58,49.66,959.13,0.08,"15/02, 16:14:51"
-33.368523333333336,-70.690305,533.1,05,27.35,28.62,48.97,959.11,-0.0,"15/02, 16:15:01"
-33.36844333333333,-70.69030833333333,532.3,05,27.27,28.51,49.07,959.1,0.0,"15/02, 16:15:11"
-33.368383333333334,-70.69029833333333,532.9,05,27.33,28.56,49.07,959.1,0.01,"15/02, 16:15:21"
-33.36821833333333,-70.69027333333334,531.6,05,27.32,28.51,49.07,959.11,0.07,"15/02, 16:15:31"
-33.36819,-70.690265,526.4,05,27.39,28.65,49.17,959.14,0.0,"15/02, 16:15:41"
-33.368298333333335,-70.69029,518.8,05,27.25,28.57,48.88,959.1,-0.0,"15/02, 16:15:51"
-33.368345,-70.69027833333334,518.2,06,27.21,28.45,48.9,959.12,0.0,"15/02, 16:16:01"
-33.368523333333336,-70.690275,531.1,06,27.12,28.37,48.9,959.12,0.04,"15/02, 16:16:11"
-33.368523333333336,-70.690275,531.0,05,27.11,28.27,49.29,959.1,0.0,"15/02, 16:16:21"
-33.368505,-70.69028,527.2,05,27.15,28.34,49.59,959.13,-0.0,"15/02, 16:16:31"
-33.36850166666667,-70.69026833333334,525.7,05,27.2,28.41,49.49,959.14,0.0,"15/02, 16:16:41"
-33.368541666666665,-70.69025333333333,518.6,04,27.29,28.51,49.87,959.09,0.03,"15/02, 16:16:51"
-33.36837333333333,-70.69023,523.5,04,27.33,28.59,49.66,959.11,0.0,"15/02, 16:17:01"
-33.36832833333333,-70.69021666666667,530.7,05,27.36,28.64,49.17,959.14,0.0,"15/02, 16:17:11"
-33.368318333333335,-70.69022,535.1,05,27.39,28.67,48.97,959.09,0.0,"15/02, 16:17:21"
-33.368336666666664,-70.69022166666667,539.1,05,27.44,28.69,48.58,959.12,0.03,"15/02, 16:17:31"
-33.36828166666667,-70.69023166666666,537.1,05,27.37,28.66,48.28,959.1,-0.0,"15/02, 16:17:41"
-33.36832,-70.69025166666667,537.2,05,27.39,28.62,48.48,959.07,-0.0,"15/02, 16:17:51"
-33.36837833333333,-70.69025,527.2,05,27.45,28.68,48.68,959.11,0.0,"15/02, 16:18:01"
-33.368278333333336,-70.6902,529.0,05,27.47,28.73,48.85,959.11,-0.03,"15/02, 16:18:12"
-33.36835,-70.690215,522.7,05,27.4,28.7,48.58,959.14,0.0,"15/02, 16:18:22"
-33.36828333333333,-70.69020666666667,521.7,05,27.39,28.64,48.38,959.12,-0.0,"15/02, 16:18:32"
-33.36825,-70.69023833333333,523.3,05,27.35,28.6,48.48,959.11,-0.0,"15/02, 16:18:42"
-33.368368333333336,-70.69025166666667,526.4,05,27.27,28.53,48.58,959.13,-0.03,"15/02, 16:18:52"
-33.36842166666667,-70.69025166666667,528.9,06,27.3,28.5,48.68,959.09,-0.0,"15/02, 16:19:02"
-33.36853166666667,-70.690285,530.2,06,27.29,28.48,48.68,959.13,0.0,"15/02, 16:19:12"
-33.368611666666666,-70.69031,531.3,05,27.35,28.53,48.77,959.08,-0.0,"15/02, 16:19:22"
-33.368676666666666,-70.6903,529.1,06,27.39,28.58,48.77,959.07,0.01,"15/02, 16:19:32"
-33.36861666666667,-70.69029666666667,527.2,06,27.42,28.64,48.97,959.14,-0.0,"15/02, 16:19:42"
-33.36860166666666,-70.69031,517.1,06,27.35,28.55,49.07,959.11,-0.0,"15/02, 16:19:53"
-33.368613333333336,-70.690295,514.3,05,27.32,28.52,49.07,959.08,0.0,"15/02, 16:20:03"
-33.368555,-70.69027833333334,521.7,05,27.33,28.52,49.07,959.12,0.06,"15/02, 16:20:13"
-33.36851,-70.69028333333333,525.7,05,27.33,28.53,49.17,959.08,0.0,"15/02, 16:20:23"
-33.36849,-70.69028333333333,525.0,04,27.37,28.6,49.17,959.07,-0.0,"15/02, 16:20:33"
-33.368521666666666,-70.69026166666667,519.6,05,27.45,28.67,49.17,959.08,0.0,"15/02, 16:20:43"
-33.368655,-70.69032666666666,517.6,04,27.45,28.69,48.97,959.09,0.07,"15/02, 16:20:53"
-33.368825,-70.69035166666667,511.9,04,27.51,28.73,49.05,959.07,0.0,"15/02, 16:21:03"
-33.368921666666665,-70.69038833333333,501.4,05,27.54,28.79,49.05,959.11,-0.0,"15/02, 16:21:13"
-33.368838333333336,-70.69035666666667,505.6,04,27.45,28.73,47.89,959.11,0.0,"15/02, 16:21:23"
-33.36866666666667,-70.690335,509.9,05,27.42,28.66,47.39,959.07,0.07,"15/02, 16:21:33"
-33.36859666666667,-70.69034,509.8,05,27.42,28.65,47.59,959.08,0.17,"15/02, 16:21:43"
-33.36862,-70.69034333333333,511.0,05,27.37,28.6,47.59,959.08,-0.0,"15/02, 16:21:53"
-33.36864666666666,-70.69033666666667,513.5,05,27.36,28.59,48.18,959.01,0.0,"15/02, 16:22:03"
-33.368585,-70.69033833333333,516.9,06,27.39,28.61,47.99,959.08,-0.0,"15/02, 16:22:13"
-33.36844,-70.690335,516.1,06,27.47,28.66,47.86,959.1,0.1,"15/02, 16:22:23"
-33.36848166666667,-70.69034833333333,509.2,05,27.54,28.74,48.06,959.11,-0.0,"15/02, 16:22:33"
-33.368465,-70.69030666666667,512.8,04,27.51,28.75,47.56,959.12,0.0,"15/02, 16:22:44"
-33.36846666666667,-70.6903,515.1,04,27.51,28.75,47.47,959.1,0.02,"15/02, 16:22:54"
-33.36846833333333,-70.69029166666667,515.4,05,27.58,28.75,47.56,959.1,-0.01,"15/02, 16:23:04"
-33.36844333333333,-70.69029,517.1,04,27.63,28.83,47.77,959.09,-0.0,"15/02, 16:23:14"
-33.368426666666664,-70.69030666666667,518.6,04,27.67,28.9,47.77,959.11,0.0,"15/02, 16:23:24"
-33.368356666666664,-70.69026333333333,524.6,04,27.65,28.92,47.66,959.14,0.02,"15/02, 16:23:35"
-33.3686,-70.69029833333333,526.0,04,27.48,28.65,47.17,959.04,0.0,"15/02, 16:24:11"
-33.36845666666667,,,00,27.55,28.77,47.47,959.12,0.0,"15/02, 16:24:36"
-33.368426666666664,-70.690405,517.0,04,27.59,28.8,47.17,959.12,-0.0,"15/02, 16:24:46"
-33.368451666666665,-70.69039,510.8,04,27.59,28.82,47.17,959.12,0.08,"15/02, 16:24:57"
-33.368491666666664,-70.69040166666667,512.3,04,27.49,28.75,46.88,959.11,0.0,"15/02, 16:25:08"
-33.36855,-70.69036333333334,522.4,04,27.42,28.69,46.89,959.1,-0.0,"15/02, 16:25:18"
